Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 100V","C_0603_1608Metric-minimized",203.400000,-114.800000,90.000000,top
"C2","1uF 50V","C_0603_1608Metric-minimized",202.000000,-114.800000,-90.000000,top
"C3","1uF 50V","C_0603_1608Metric-minimized",198.400000,-112.300000,-90.000000,top
"C4","100nF 100V","C_0603_1608Metric-minimized",200.300000,-117.600000,-90.000000,top
"J1","~","Pin_Header_1x4_2.54mm_Vertical",194.700000,-119.680000,180.000000,top
"J2","4-pin header","Pin_Header_1x4_2.54mm_Vertical",224.700000,-119.750000,180.000000,top
"J3","DF13-4P-1.25V(21)","HRS_DF13C_4P_1.25V(21)",220.000000,-115.900000,90.000000,top
"J4","4-pin GH","BM04B-GHS-TBT",212.900000,-115.800000,-90.000000,top
"R1","1k","R_0603_1608Metric",197.400000,-115.225000,-90.000000,top
"R2","1k","R_0603_1608Metric",198.900000,-115.225000,-90.000000,top
"R3","200k","R_0603_1608Metric",205.100000,-114.600000,-90.000000,top
"R4","1k","R_0603_1608Metric",207.900000,-114.625000,-90.000000,top
"R5","1k","R_0603_1608Metric",209.700000,-114.625000,-90.000000,top
"U1","PCA9306D,118","SO-8_3.9x4.9mm_P1.27mm_correct",204.775000,-118.905000,0.000000,top
"U2","MIC5365-3.3YC5","SOT-353_SC-70-5",201.050000,-112.250000,0.000000,top
